,0
0,1
1,2
2,0
3,2
4,1
5,0
6,1
7,2
8,1
9,1
10,2
11,1
12,1
13,1
14,0
15,0
16,1
17,2
18,0
19,1
20,1
21,2
22,2
23,2
24,2
25,2
26,2
27,1
28,2
29,0
30,0
31,0
32,1
33,1
34,0
35,0
36,0
37,2
38,1
39,1
40,1
41,2
42,1
43,2
44,0
45,1
46,0
47,1
48,0
49,1
50,2
51,1
52,1
53,1
54,2
55,0
56,2
57,0
58,0
59,1
60,1
61,1
62,0
63,2
64,2
65,1
66,1
67,2
68,2
69,2
70,1
71,0
72,1
73,2
74,0
75,1
76,1
77,0
78,1
79,0
80,2
81,2
82,1
83,1
84,2
85,2
86,2
87,2
88,1
89,0
90,1
91,0
92,1
93,0
94,2
95,2
96,1
97,0
98,1
99,2
100,1
101,1
102,2
103,1
104,2
105,1
106,0
107,2
108,2
109,2
110,2
111,0
112,0
113,1
114,1
115,0
116,2
117,1
118,1
119,0
120,1
121,1
122,2
123,1
124,0
125,2
126,0
127,0
128,0
129,1
130,1
131,1
132,2
133,1
134,1
135,1
136,1
137,1
138,0
139,2
140,0
141,1
142,1
143,2
144,0
145,1
146,0
147,0
148,1
149,1
150,1
151,2
152,2
153,1
154,0
155,2
156,1
157,0
158,2
159,1
160,2
161,2
162,0
163,2
164,1
165,1
166,0
167,0
168,2
169,1
170,1
171,1
172,2
173,1
174,1
175,0
176,1
177,2
178,0
179,0
180,0
181,1
182,1
183,1
184,1
185,0
186,0
187,2
188,0
189,0
190,0
191,0
192,2
193,2
194,1
195,1
196,2
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,2
207,1
208,0
209,0
210,1
211,0
212,0
213,2
214,0
215,0
216,0
217,1
218,2
219,0
220,0
221,1
222,1
223,2
224,1
225,0
226,1
227,2
228,1
229,1
230,0
231,2
232,1
233,1
234,0
235,1
236,0
237,0
238,1
239,1
240,2
241,2
242,2
243,0
244,1
245,2
246,2
247,2
248,0
249,2
250,2
251,1
252,2
253,1
254,0
255,1
256,2
257,1
258,0
259,2
260,1
261,0
262,2
263,0
264,1
265,0
266,1
267,1
268,1
269,0
270,1
271,1
272,0
273,2
274,1
275,0
276,0
277,1
278,0
279,1
280,2
281,1
282,0
283,0
284,1
285,2
286,1
287,1
288,1
289,2
290,0
291,2
292,1
293,0
294,0
295,0
296,2
297,0
298,2
299,1
300,2
301,1
302,2
303,1
304,0
305,2
306,2
307,0
308,0
309,2
310,2
311,0
312,2
313,0
314,1
315,1
316,0
317,0
318,1
319,2
320,0
321,1
322,0
323,2
324,1
325,0
326,2
327,2
328,2
329,0
330,2
331,2
332,1
333,1
334,2
335,2
336,1
337,2
338,1
339,1
340,1
341,1
342,1
343,1
344,0
345,1
346,1
347,1
348,0
349,1
350,1
351,1
352,1
353,0
354,0
355,2
356,0
357,2
358,2
359,1
360,2
361,2
362,0
363,2
364,1
365,2
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,1
374,2
375,2
376,2
377,2
378,1
379,2
380,1
381,1
382,0
383,1
384,0
385,1
386,2
387,1
388,1
389,2
390,1
391,2
392,2
393,0
394,1
395,1
396,1
397,2
398,1
399,1
400,0
401,2
402,2
403,1
404,1
405,1
406,2
407,0
408,2
409,0
410,2
411,1
412,1
413,2
414,0
415,2
416,2
417,0
418,1
419,1
420,1
421,2
422,2
423,1
424,0
425,1
426,2
427,0
428,2
429,0
430,0
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,0
439,0
440,1
441,1
442,2
443,2
444,2
445,0
446,2
447,0
448,1
449,0
450,2
451,2
452,1
453,1
454,0
455,2
456,1
457,0
458,1
459,1
460,0
461,1
462,1
463,2
464,1
465,2
466,1
467,1
468,2
469,1
470,1
471,2
472,2
473,2
474,2
475,2
476,1
477,0
478,1
479,1
480,1
481,0
482,1
483,1
484,1
485,2
486,2
487,0
488,0
489,1
490,2
491,1
492,1
493,2
494,1
495,0
496,0
497,0
498,0
499,0
500,2
501,2
502,1
503,0
504,0
505,0
506,1
507,2
508,0
509,2
510,1
511,0
512,1
513,0
514,1
515,1
516,0
517,0
518,1
519,2
520,0
521,1
522,2
523,1
524,1
525,2
526,0
527,0
528,2
529,1
530,0
531,2
532,2
533,1
534,1
535,1
536,1
537,2
538,1
539,2
540,0
541,2
542,1
543,2
544,1
545,2
546,2
547,1
548,2
549,1
550,1
551,1
552,1
553,0
554,2
555,0
556,0
557,0
558,2
559,0
560,1
561,0
562,0
563,2
564,1
565,0
566,0
567,0
568,1
569,1
570,2
571,1
572,0
573,0
574,2
575,1
576,1
577,1
578,0
579,0
580,1
581,2
582,1
583,1
584,0
585,1
586,2
587,0
588,0
589,2
590,2
591,1
592,1
593,1
594,2
595,2
596,1
597,2
598,0
599,2
600,1
601,1
602,2
603,1
604,1
605,1
606,2
607,2
608,2
609,1
610,0
611,0
612,0
613,1
614,1
615,1
616,1
617,1
618,2
619,0
620,1
621,0
622,0
623,2
624,1
625,1
626,0
627,1
628,1
629,1
630,0
631,1
632,1
633,0
634,0
635,0
636,1
637,2
638,0
639,1
640,0
641,0
642,1
643,1
644,1
645,0
646,0
647,1
648,0
649,1
650,1
651,1
652,1
653,0
654,1
655,1
656,1
657,0
658,2
659,1
660,1
661,2
662,1
663,0
664,2
665,0
666,0
667,1
668,2
669,0
670,2
671,1
672,1
673,1
674,2
675,2
676,1
677,2
678,2
679,1
680,1
681,2
682,2
683,1
684,0
685,2
686,2
687,0
688,2
689,0
690,2
691,0
692,2
693,1
694,1
695,0
696,2
697,0
698,0
699,0
700,0
701,2
702,1
703,1
704,2
705,0
706,0
707,0
708,1
709,1
710,2
711,1
712,1
713,1
714,1
715,0
716,0
717,1
718,0
719,2
720,2
721,2
722,0
723,2
724,1
725,2
726,1
727,0
728,1
729,0
730,1
731,1
732,1
733,0
734,2
735,0
736,1
737,2
738,0
739,2
740,0
741,2
742,2
743,2
744,0
745,1
746,1
747,2
748,1
749,2
750,1
751,0
752,2
753,0
754,1
755,2
756,2
757,1
758,0
759,0
760,2
761,1
762,0
763,1
764,1
765,2
766,1
767,0
768,0
769,1
770,2
771,1
772,1
773,2
774,1
775,0
776,1
777,2
778,2
779,0
780,1
781,2
782,2
783,1
784,1
785,1
786,1
787,0
788,0
789,0
790,2
791,0
792,1
793,0
794,2
795,2
796,0
797,0
798,0
799,2
800,0
801,1
802,2
803,2
804,1
805,1
806,2
807,2
808,1
809,2
810,1
811,0
812,1
813,1
814,0
815,1
816,2
817,1
818,2
819,0
820,2
821,2
822,1
823,0
824,2
825,0
826,2
827,1
828,0
829,1
830,1
831,1
832,1
833,2
834,1
835,1
836,0
837,1
838,2
839,1
840,0
841,1
842,2
843,2
844,0
845,1
846,1
847,1
848,0
849,2
850,1
851,1
852,2
853,2
854,0
855,1
856,1
857,0
858,1
859,2
860,2
861,2
862,1
863,0
864,1
865,2
866,1
867,2
868,2
869,1
870,1
871,0
872,1
873,0
874,1
875,1
876,1
877,0
878,2
879,2
880,1
881,0
882,0
883,0
884,1
885,1
886,0
887,0
888,1
889,2
890,1
891,0
892,0
893,1
894,0
895,0
896,0
897,0
898,0
899,0
900,2
901,1
902,0
903,1
904,2
905,0
906,1
907,1
908,2
909,1
910,1
911,1
912,1
913,1
914,0
915,0
916,0
917,2
918,0
919,1
920,1
921,0
922,2
923,0
924,0
925,0
926,2
927,0
928,0
929,2
930,0
931,1
932,1
933,1
934,2
935,1
936,1
937,2
938,1
939,0
940,1
941,0
942,0
943,1
944,1
945,0
946,1
947,1
948,2
949,1
950,2
951,2
952,2
953,0
954,0
955,2
956,2
957,1
958,1
959,1
960,1
961,1
962,2
963,0
